CRASH_RECORD_ID,CRASH_DATE,Weekday,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,DAMAGE,PRIM_CONTRIBUTORY_CAUSE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,CRASH_TIME,CATEGORIES
f3be89d0340e4c18cc21acf686ea99ba028fcbff3114609d5221b2eb68d28c0a852df6c8a5752f5640789069db41c9ab60fcf275c6f7e219014fef3317e3f913,2023-12-31 23:29:00,Sunday,30,NO CONTROLS,CLEAR,DARKNESS,FIXED OBJECT,DRY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",UNABLE TO DETERMINE,2,INCAPACITATING INJURY,1.0,0.0,1.0,23,1,12,41.84641238,-87.69485685,"['12/31/2023', '11:29:00', 'PM']",INCAPACITATING INJURY without Device
f461cbbdaa5a6fb58d8d5f629cf5d6d4a4522cb12060db5bf11c8c11cd6cd50549ad95b3ab63f9e87a65ac9c7dc1fafb51f64735888f4bb3a423dcfd2149a827,2023-12-31 19:55:00,Sunday,30,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,WET,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",UNABLE TO DETERMINE,4,INCAPACITATING INJURY,1.0,0.0,1.0,19,1,12,41.97625262,-87.67164825,"['12/31/2023', '07:55:00', 'PM']",INCAPACITATING INJURY without Device
48ea3285595a956cd54c213bebd0aab7f3dc9fa933635f48764e22687d93da0304c6b74d57cc537f67964c8bb0c81cbe1bf579ba670b4716830f10da2f641640,2023-12-30 20:34:00,Saturday,35,TRAFFIC SIGNAL,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DRY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",UNABLE TO DETERMINE,1,INCAPACITATING INJURY,1.0,0.0,1.0,20,7,12,41.99247323,-87.65531238,"['12/30/2023', '08:34:00', 'PM']",INCAPACITATING INJURY with Device
3d2517b79bdb8ee4287258a5170457087ffa620aa8815c32e991ae995617c559e07cccc99e0193767457d0cec8afc03a450d8b0d9e0620be572e34dc431642b8,2023-12-30 15:45:00,Saturday,30,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DRY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",PHYSICAL CONDITION OF DRIVER,3,INCAPACITATING INJURY,1.0,0.0,1.0,15,7,12,41.65529333,-87.54366095,"['12/30/2023', '03:45:00', 'PM']",INCAPACITATING INJURY without Device
ee6fabca3f4dd3fa9a422604693f1dfb6e80f7bb0be54a619245afb149774a6026194bd0471a002dbd7e6a165abc6ae42f5e640fea1bf5f22c5a8bb70a39ab10,2023-12-30 10:50:00,Saturday,30,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO REAR,DRY,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",UNABLE TO DETERMINE,2,INCAPACITATING INJURY,1.0,0.0,1.0,10,7,12,41.96534509,-87.77732734,"['12/30/2023', '10:50:00', 'AM']",INCAPACITATING INJURY without Device
2152b6f446bccfd3e1d17c224083d87b2eeb8b199d8a72c6f98e21e7a278ac0f23cdbbf3d1aadc80c10a77f2ce29bc7eaf6becc31eb70fea4dfbb002bac95c3d,2023-12-30 04:38:00,Saturday,55,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,DRY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",DRIVING ON WRONG SIDE/WRONG WAY,3,INCAPACITATING INJURY,1.0,0.0,1.0,4,7,12,41.79518856,-87.579373,"['12/30/2023', '04:38:00', 'AM']",INCAPACITATING INJURY without Device
4f7038487fc61fed414d7747b88bf7e84dcb6acc989af666e0c71174c3111ebe223f1494fc7144af9229d9088462ad7ae0b29512131b6fb681fb8f7756c011dd,2023-12-30 02:17:00,Saturday,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DRY,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,UNABLE TO DETERMINE,2,INCAPACITATING INJURY,1.0,0.0,1.0,2,7,12,41.79004397,-87.8013004,"['12/30/2023', '02:17:00', 'AM']",INCAPACITATING INJURY without Device
1d0006df8520d6eaac381d111159f63cf6fd5eba30eab8d5e4d494b04673b1b03a961ec8c0ac3ae6aee220dc3189ba2a72e1a71459d7d25c0cfa816014ba0af9,2023-12-29 21:42:00,Friday,25,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,WET,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",UNABLE TO DETERMINE,5,FATAL,4.0,2.0,0.0,21,6,12,41.78031747,-87.60607456,"['12/29/2023', '09:42:00', 'PM']",FATAL with Device
dfdc5046769a7fd8cc36fd942f9c2c576f37e3375c68eef639830f50b704ebb656e2fe95b2ef365ea9de2f41d426ea0aba06346fa562e27b028a58b68cd888fe,2023-12-29 20:43:00,Friday,45,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DRY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,INCAPACITATING INJURY,3.0,0.0,1.0,20,6,12,41.99425895,-87.88475392,"['12/29/2023', '08:43:00', 'PM']",INCAPACITATING INJURY with Device
cca1e0a3ee9e95cc798967908f067f1c5c2975c4e102cf0333563b0fe1e175d84c0217b5c20646043ffbd2bb7d230f3c882c6683fdc5438aca8c20812f2e30c4,2023-12-29 03:14:00,Friday,30,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,WET,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,INCAPACITATING INJURY,4.0,0.0,1.0,3,6,12,41.73682263,-87.58578342,"['12/29/2023', '03:14:00', 'AM']",INCAPACITATING INJURY with Device
